650	63	2	891388294
932	566	4	891251463
834	268	3	890860194
389	642	4	880087804
699	456	1	880696679
798	210	4	875743410
715	106	2	875962140
95	257	5	879197329
85	512	3	879456199
73	156	4	888625835
169	606	5	891359137
367	334	4	876689364
217	38	3	889070266
326	399	4	879877004
299	259	3	877877323
402	237	4	876266948
343	660	3	876405004
435	715	3	884133635
189	510	5	893266326
222	934	2	877563758
578	272	2	888957735
608	462	4	880406552
268	1090	2	875745536
514	209	3	876062951
276	58	4	874791169
328	215	3	885046773
426	673	4	879442227
880	578	3	880168411
303	324	3	879466065
366	164	5	888857932
119	254	2	874781037
145	470	5	875272299
788	432	1	880869323
541	66	4	883865929
704	209	3	891397667
711	710	4	879994903
887	477	1	881378570
638	504	2	876695560
145	592	3	888398867
801	881	3	890332820
382	134	3	875947149
303	83	5	879467607
484	22	5	891194841
268	1413	2	875744388
280	182	3	891700276
21	564	3	874951797
896	184	3	887159578
264	844	1	886124097
291	226	5	874834895
938	235	1	891357137
919	471	3	875289638
318	143	5	884495944
916	276	4	880843551
22	209	4	878886518
930	245	3	879534165
354	297	4	891216760
527	479	4	879455707
371	176	4	877487135
665	15	4	884290676
901	1	5	877129870
141	742	4	884584930
798	1285	3	876177330
156	357	4	888185677
881	576	3	876538824
553	1194	5	879948995
328	645	4	885046344
882	66	4	879867980
318	174	4	884495590
462	271	1	886365928
347	25	2	881652684
57	472	1	883697253
896	79	5	887158384
159	255	3	885501660
531	245	4	887049049
334	326	1	891544286
500	135	5	883875041
653	410	1	878855024
110	849	3	886988664
104	751	4	888442337
465	22	3	883531246
872	268	1	888478864
399	575	1	882350762
589	688	4	883352707
48	1063	3	879434654
97	194	3	884238860
145	407	2	888398400
655	685	2	887426666
11	732	3	891904596
380	435	3	885479124
843	650	3	879447801
637	181	4	882902540
144	1284	3	888104446
453	48	4	877553761
772	304	4	876250442
622	209	5	882592421
406	724	3	884630973
249	327	4	879571489
864	227	4	888889510
452	641	3	875266415
308	410	4	887741329
883	64	4	891717988
276	407	2	874792310
